nombre,clasificac,ubicacion,barrio,comuna,area,perimeter,Score,Reviews,Descripcion,Direccion,CLASE
,CANTERO CENTRAL,"CAFAYATE E/ FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. Y BERON DE ASTRADA",VILLA LUGANO,8.0,32.486,9997.0,,,,,
,CANTERO CENTRAL,"CAFAYATE E/ FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. Y BERON DE ASTRADA",VILLA LUGANO,8.0,137.388,10.0,,,,,
,CANTERO CENTRAL,"CAFAYATE E/ FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. Y BERON DE ASTRADA",VILLA LUGANO,8.0,431.193,9980.0,,,,,
,CANTERO CENTRAL,"DELLEPIANE, LUIS J., TTE. GRAL., AV.- E/ MURGIONDO Y ARGENTINA, AV.",VILLA LUGANO,8.0,34.548,2.0,,,,,
,PLAZOLETA,"ARGENTINA, AV. - DELLEPIANE, LUIS J., TTE. GRAL., AV. - ZELARRAYAN",VILLA LUGANO,8.0,234.223,10.0,,,,,
,PLAZOLETA,"ARGENTINA, AV. - DELLEPIANE, LUIS J., TTE. GRAL., AV. - ZELARRAYAN",VILLA LUGANO,8.0,134.97899999999998,10.0,,,,,
,PLAZOLETA,"ARTIGAS, MANUEL - ALBERDI, JUAN B., AV. - CARHUE",MATADEROS,9.0,40.021,1.0,,,,,
,PLAZOLETA,"ARTIGAS, MANUEL - ALBERDI, JUAN B., AV. - CARHUE",MATADEROS,9.0,33.598,9999.0,,,,,
,CANTERO CENTRAL,"RABANAL, FRANCISCO, INT., AV. (EX ROCA, CNEL., AV.) E/ CHARRUA Y VARELA",VILLA SOLDATI,8.0,15.664,9999.0,,,,,
,CANTERO CENTRAL,"RABANAL, FRANCISCO, INT., AV. (EX ROCA, CNEL., AV.) E/ CHARRUA Y VARELA",VILLA SOLDATI,8.0,124.183,10.0,,,,,
,CANTERO CENTRAL,"RABANAL, FRANCISCO, INT., AV. (EX ROCA, CNEL., AV.) E/ CHARRUA Y VARELA",VILLA SOLDATI,8.0,129.274,9990.0,,,,,
,CANTERO CENTRAL,"RABANAL, FRANCISCO, INT., AV. (EX ROCA, CNEL., AV.) E/ CHARRUA Y VARELA",VILLA SOLDATI,8.0,3.239,0.0,,,,,
,CANTERO CENTRAL,"RABANAL, FRANCISCO, INT., AV. (EX ROCA, CNEL., AV.) E/ CHARRUA Y VARELA",VILLA SOLDATI,8.0,4.667,0.0,,,,,
,PLAZOLETA,"RIVERA INDARTE - TABARE - ESTEVEZ, JOSE, ING.",VILLA SOLDATI,8.0,50.199,9998.0,,,,,
,PLAZOLETA,"RIVERA INDARTE - TABARE - ESTEVEZ, JOSE, ING.",VILLA SOLDATI,8.0,42.206,3.0,,,,,
,CANTERO CENTRAL,"EREZCANO, AV. E/ RABANAL, FRANCISCO, INT., AV. Y 27 DE FEBRERO, AV.",NUEVA POMPEYA,4.0,203.016,9990.0,,,,,
,CANTERO CENTRAL,"EREZCANO, AV. E/ RABANAL, FRANCISCO, INT., AV. Y 27 DE FEBRERO, AV.",NUEVA POMPEYA,4.0,146.933,9990.0,,,,,
,CANTERO CENTRAL,"RABANAL, FRANCISCO, INT., AV. (EX ROCA, CNEL., AV.) E/ VEDIA, AGUSTIN DE Y CHARRUA",NUEVA POMPEYA,4.0,115.42,0.0,,,,,
,CANTERO CENTRAL,"RABANAL, FRANCISCO, INT., AV. (EX ROCA, CNEL., AV.) E/ VEDIA, AGUSTIN DE Y CHARRUA",NUEVA POMPEYA,4.0,89.01799999999999,1.0,,,,,
,CANTERO CENTRAL,"RIESTRA, AV.  E/ MORENO, PERITO, AV. Y LAFUENTE, AV.",VILLA SOLDATI,8.0,77.209,3.0,,,,,
,PLAZOLETA,GARMENDIA - OSORIO - AVALOS,PATERNAL,15.0,308.814,20.0,,,,,
,CANTERO CENTRAL,"RIESTRA, AV.  E/ LAFUENTE, AV. Y ACOSTA, MARIANO",VILLA SOLDATI,8.0,1430.904,0.0,,,,,
,PLAZOLETA,"MORENO, PERITO, AV. - LAFUENTE - CASTAÑARES, AV.",VILLA SOLDATI,8.0,4574.196,9900.0,,,,,
,PLAZOLETA,"MORENO, PERITO, AV. - LAFUENTE - CASTAÑARES, AV.",VILLA SOLDATI,8.0,181.85,9990.0,,,,,
,CANTERO CENTRAL,"ACOSTA, MARIANO  E/ MORENO, PERITO, AV. Y CASTAÑARES, AV.",VILLA SOLDATI,8.0,81.17399999999998,7.0,,,,,
,CANTERO CENTRAL,"ACOSTA, MARIANO  E/ MORENO, PERITO, AV. Y CASTAÑARES, AV.",FLORES,7.0,2613.098,0.0,,,,,
,CANTERO CENTRAL,"JANER, ANA M.  E/ LAFUENTE Y ACOSTA, MARIANO",VILLA SOLDATI,8.0,1297.634,0.0,,,,,
,CANTERO CENTRAL,"RIESTRA, AV.  E/ LAFUENTE, AV. Y ACOSTA, MARIANO",VILLA SOLDATI,8.0,16.186,0.0,,,,,
,PLAZOLETA,"CASTAÑARES, AV. - LAFUENTE, AV.",FLORES,7.0,977.272,50.0,,,,,
,CANTERO CENTRAL,"DELLEPIANE, LUIS J., TTE. GRAL., AV. E/ ACOSTA, MARIANO - LAFUENTE, AV. - QUIRNO Y PERON, EVA, AV.",FLORES,7.0,39.636,3.0,,,,,
