"Grupo de edad (años)","Total","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","SEXO","AÑO"
"Total","1,426,582","123,030","66,915","90,417","113,113","85,451","83,865","112,134","106,508","81,816","79,581","89,555","99,162","107,341","102,439","85,255","Hombre","2015"
"0-4","108,023","8,902","3,819","6,405","10,301","5,797","5,806","9,568","11,768","6,465","5,743","6,041","7,305","7,635","6,518","5,950","Hombre","2015"
"5-9","105,680","7,939","3,568","6,198","10,183","5,868","5,545","9,274","11,335","6,865","6,192","6,603","7,002","6,956","5,957","6,195","Hombre","2015"
"10-14","99,209","7,592","3,347","5,858","10,054","5,384","4,955","8,764","10,616","6,658","5,488","6,390","6,402","6,446","5,523","5,732","Hombre","2015"
"15-19","94,542","7,654","4,005","5,626","8,996","5,262","4,770","8,086","9,369","5,845","5,426","5,779","6,079","6,237","5,819","5,589","Hombre","2015"
"20-24","101,659","10,469","6,368","7,184","8,367","5,870","5,090","7,990","8,476","5,317","5,054","5,492","5,966","6,584","7,763","5,669","Hombre","2015"
"25-29","114,348","11,934","6,728","8,179","8,662","7,213","6,351","8,458","8,361","5,591","5,547","6,313","7,186","7,993","9,180","6,652","Hombre","2015"
"30-34","115,593","10,983","5,435","7,938","8,377","7,531","7,122","8,353","7,532","5,853","5,862","6,763","8,490","8,933","9,079","7,342","Hombre","2015"
"35-39","113,058","10,054","4,707","7,374","8,454","7,056","7,151","8,551","7,489","6,226","6,079","7,081","8,376","9,146","8,326","6,988","Hombre","2015"
"40-44","100,781","8,787","4,041","6,640","7,923","6,265","6,098","7,566","6,853","5,874","5,517","6,480","7,190","7,921","7,448","6,178","Hombre","2015"
"45-49","82,119","7,084","3,509","5,244","5,986","5,045","5,107","6,182","5,131","4,641","4,868","5,585","6,075","6,489","5,927","5,246","Hombre","2015"
"50-54","75,390","6,640","3,396","4,590","5,384","4,713","4,895","5,699","4,322","4,328","4,651","5,312","5,612","5,836","5,420","4,592","Hombre","2015"
"55-59","72,336","6,113","3,615","4,601","5,173","4,441","4,784","5,446","3,809","4,155","4,405","4,888","5,224","5,658","5,519","4,505","Hombre","2015"
"60-64","64,734","5,313","3,625","3,840","4,193","3,961","4,301","4,818","3,131","3,744","3,992","4,426","4,817","5,485","5,107","3,981","Hombre","2015"
"65-69","56,648","4,552","3,425","3,340","3,564","3,427","3,717","4,182","2,759","3,204","3,258","3,924","4,285","4,953","4,753","3,305","Hombre","2015"
"70-74","45,576","3,428","2,678","2,706","2,971","2,786","2,915","3,415","2,313","2,650","2,797","3,045","3,384","4,016","3,761","2,711","Hombre","2015"
"75-79","33,294","2,343","1,916","1,987","2,145","2,076","2,238","2,521","1,650","1,989","2,073","2,335","2,504","2,875","2,609","2,033","Hombre","2015"
"80 y más","43,592","3,243","2,733","2,707","2,380","2,756","3,020","3,261","1,594","2,411","2,629","3,098","3,265","4,178","3,730","2,587","Hombre","2015"
"Total","1,627,685","127,740","83,070","101,958","124,656","101,061","100,498","127,463","118,262","88,271","90,456","100,370","114,056","128,325","124,382","97,117","Mujer","2015"
"0-4","101,860","8,134","3,384","5,760","9,648","5,434","5,586","8,883","11,594","6,057","5,493","5,728","7,046","7,019","6,372","5,722","Mujer","2015"
"5-9","99,937","7,451","3,282","5,594","9,830","5,355","5,399","8,916","11,199","6,284","5,688","6,275","6,796","6,530","5,670","5,668","Mujer","2015"
"10-14","95,386","7,186","3,139","5,430","9,692","5,183","4,811","8,551","10,650","6,004","5,671","5,810","6,201","6,016","5,410","5,632","Mujer","2015"
"15-19","93,774","7,367","4,449","5,527","9,007","5,145","4,765","7,937","9,782","5,672","5,179","5,561","5,866","5,990","6,262","5,265","Mujer","2015"
"20-24","104,551","9,921","7,723","7,361","8,314","6,011","5,361","8,170","8,944","5,064","5,112","5,160","5,871","6,994","8,907","5,638","Mujer","2015"
"25-29","120,145","11,558","7,759","8,257","8,858","7,733","7,008","8,759","8,497","5,537","5,637","6,171","7,721","9,168","10,519","6,963","Mujer","2015"
"30-34","121,628","9,988","6,073","7,745","9,066","8,077","7,889","8,981","8,041","5,785","6,100","6,912","9,137","10,172","10,006","7,656","Mujer","2015"
"35-39","119,149","9,555","5,112","7,615","8,828","7,798","7,840","8,792","8,069","6,219","6,373","7,272","8,972","10,138","9,244","7,322","Mujer","2015"
"40-44","109,121","8,583","4,761","6,850","8,298","6,867","6,895","8,414","7,476","5,966","6,112","7,100","7,761","8,875","8,371","6,792","Mujer","2015"
"45-49","92,461","7,149","4,301","5,870","6,816","5,809","5,913","7,104","5,893","5,054","5,444","6,062","6,744","7,401","6,974","5,927","Mujer","2015"
"50-54","88,576","6,729","4,442","5,505","6,311","5,714","5,990","6,921","4,943","4,669","5,296","5,868","6,566","7,307","6,816","5,499","Mujer","2015"
"55-59","89,797","6,735","4,940","5,676","6,057","5,938","6,042","6,731","4,686","4,724","5,330","6,011","6,466","7,655","7,308","5,498","Mujer","2015"
"60-64","85,013","6,225","4,983","5,401","5,393","5,599","5,816","6,234","4,386","4,391","4,788","5,593","6,271","7,598","7,160","5,175","Mujer","2015"
"65-69","79,293","5,708","4,768","5,053","5,056","5,256","5,313","5,733","4,014","4,301","4,476","5,152","5,776","7,214","6,764","4,709","Mujer","2015"
"70-74","69,286","4,752","4,186","4,374","4,338","4,534","4,747","5,102","3,555","3,848","4,123","4,633","5,140","5,993","5,806","4,155","Mujer","2015"
"75-79","57,281","3,859","3,184","3,656","3,517","3,674","3,802","4,357","2,795","3,366","3,547","3,963","4,349","5,074","4,659","3,479","Mujer","2015"
"80 y más","100,427","6,840","6,584","6,284","5,627","6,934","7,321","7,878","3,738","5,330","6,087","7,099","7,373","9,181","8,134","6,017","Mujer","2015"
"Total","1,430,531","124,045","66,870","90,614","113,518","85,640","84,068","112,527","107,199","82,045","79,688","89,599","99,433","107,484","102,515","85,286","Hombre","2016"
"0-4","107,662","8,925","3,795","6,380","10,275","5,772","5,780","9,542","11,780","6,440","5,711","6,001","7,274","7,592","6,482","5,913","Hombre","2016"
"5-9","105,089","7,941","3,538","6,161","10,136","5,830","5,508","9,228","11,322","6,823","6,145","6,545","6,957","6,901","5,911","6,143","Hombre","2016"
"10-14","100,984","7,774","3,399","5,960","10,244","5,475","5,039","8,926","10,854","6,773","5,574","6,483","6,511","6,546","5,609","5,817","Hombre","2016"
"15-19","93,832","7,642","3,964","5,582","8,937","5,219","4,729","8,029","9,341","5,798","5,374","5,717","6,029","6,176","5,763","5,532","Hombre","2016"
"20-24","100,772","10,440","6,294","7,118","8,302","5,815","5,040","7,926","8,440","5,267","4,999","5,427","5,910","6,512","7,678","5,604","Hombre","2016"
"25-29","111,917","11,751","6,567","8,002","8,487","7,055","6,211","8,284","8,221","5,470","5,418","6,160","7,029","7,806","8,966","6,490","Hombre","2016"
"30-34","115,724","11,063","5,427","7,944","8,396","7,535","7,124","8,370","7,576","5,858","5,858","6,751","8,495","8,925","9,071","7,331","Hombre","2016"
"35-39","113,211","10,130","4,701","7,383","8,475","7,062","7,155","8,570","7,534","6,233","6,076","7,069","8,383","9,140","8,321","6,979","Hombre","2016"
"40-44","103,127","9,047","4,125","6,792","8,117","6,407","6,234","7,749","7,046","6,009","5,635","6,612","7,353","8,090","7,606","6,305","Hombre","2016"
"45-49","84,506","7,335","3,602","5,395","6,167","5,189","5,252","6,368","5,306","4,774","5,001","5,731","6,248","6,665","6,088","5,385","Hombre","2016"
"50-54","75,444","6,685","3,389","4,593","5,394","4,714","4,895","5,709","4,346","4,331","4,646","5,301","5,614","5,829","5,414","4,584","Hombre","2016"
"55-59","72,268","6,146","3,602","4,596","5,175","4,435","4,777","5,447","3,824","4,150","4,393","4,870","5,217","5,643","5,504","4,489","Hombre","2016"
"60-64","65,192","5,385","3,641","3,867","4,228","3,987","4,329","4,858","3,168","3,770","4,013","4,445","4,851","5,514","5,136","4,000","Hombre","2016"
"65-69","57,050","4,613","3,441","3,364","3,594","3,450","3,741","4,217","2,792","3,226","3,276","3,941","4,315","4,980","4,779","3,321","Hombre","2016"
"70-74","46,250","3,501","2,711","2,746","3,021","2,826","2,956","3,469","2,359","2,689","2,834","3,082","3,433","4,068","3,810","2,745","Hombre","2016"
"75-79","33,785","2,393","1,939","2,016","2,179","2,106","2,270","2,561","1,683","2,018","2,101","2,365","2,540","2,913","2,643","2,058","Hombre","2016"
"80 y más","43,718","3,274","2,735","2,715","2,391","2,763","3,028","3,274","1,607","2,416","2,634","3,099","3,274","4,184","3,734","2,590","Hombre","2016"
"Total","1,628,591","128,008","82,978","101,959","124,785","101,100","100,543","127,589","118,538","88,308","90,475","100,357","114,143","128,335","124,369","97,104","Mujer","2016"
"0-4","101,512","8,123","3,370","5,737","9,621","5,413","5,563","8,855","11,583","6,032","5,468","5,700","7,019","6,987","6,346","5,695","Mujer","2016"
"5-9","99,256","7,418","3,257","5,554","9,769","5,316","5,358","8,858","11,150","6,237","5,643","6,222","6,747","6,478","5,627","5,622","Mujer","2016"
"10-14","96,783","7,307","3,182","5,508","9,840","5,256","4,877","8,679","10,833","6,087","5,748","5,886","6,289","6,097","5,486","5,708","Mujer","2016"
"15-19","92,599","7,290","4,390","5,455","8,899","5,078","4,702","7,840","9,683","5,598","5,109","5,483","5,790","5,909","6,180","5,193","Mujer","2016"
"20-24","103,211","9,814","7,618","7,263","8,214","5,931","5,288","8,069","8,852","4,996","5,041","5,087","5,793","6,897","8,788","5,560","Mujer","2016"
"25-29","117,460","11,324","7,580","8,069","8,666","7,557","6,847","8,567","8,329","5,410","5,506","6,024","7,548","8,954","10,279","6,800","Mujer","2016"
"30-34","121,721","10,018","6,073","7,748","9,080","8,081","7,891","8,991","8,069","5,787","6,099","6,907","9,141","10,171","10,009","7,656","Mujer","2016"
"35-39","119,198","9,580","5,110","7,615","8,839","7,799","7,840","8,800","8,094","6,219","6,371","7,265","8,973","10,133","9,243","7,317","Mujer","2016"
"40-44","111,175","8,766","4,847","6,976","8,461","6,994","7,021","8,576","7,637","6,075","6,222","7,223","7,905","9,034","8,526","6,912","Mujer","2016"
"45-49","94,727","7,339","4,404","6,012","6,989","5,950","6,055","7,282","6,054","5,175","5,573","6,203","6,908","7,575","7,142","6,066","Mujer","2016"
"50-54","88,106","6,709","4,415","5,474","6,283","5,682","5,955","6,889","4,930","4,642","5,263","5,831","6,529","7,262","6,777","5,465","Mujer","2016"
"55-59","89,280","6,712","4,909","5,642","6,028","5,902","6,004","6,696","4,672","4,695","5,295","5,968","6,428","7,604","7,264","5,461","Mujer","2016"
"60-64","85,347","6,264","5,000","5,421","5,419","5,620","5,836","6,262","4,415","4,407","4,803","5,607","6,295","7,622","7,186","5,190","Mujer","2016"
"65-69","79,694","5,751","4,787","5,077","5,086","5,282","5,338","5,765","4,045","4,321","4,495","5,172","5,804","7,246","6,796","4,729","Mujer","2016"
"70-74","70,201","4,826","4,239","4,431","4,400","4,593","4,808","5,171","3,612","3,897","4,174","4,688","5,207","6,068","5,881","4,206","Mujer","2016"
"75-79","57,941","3,913","3,219","3,697","3,561","3,716","3,845","4,410","2,835","3,404","3,585","4,004","4,398","5,128","4,711","3,515","Mujer","2016"
"80 y más","100,380","6,854","6,578","6,280","5,630","6,930","7,315","7,879","3,745","5,326","6,080","7,087","7,369","9,170","8,128","6,009","Mujer","2016"
"Total","1,434,323","125,021","66,825","90,802","113,908","85,822","84,263","112,905","107,863","82,265","79,790","89,641","99,692","107,621","102,588","85,317","Hombre","2017"
"0-4","107,161","8,933","3,767","6,347","10,236","5,741","5,747","9,503","11,776","6,405","5,672","5,954","7,234","7,539","6,438","5,869","Hombre","2017"
"5-9","104,598","7,950","3,512","6,129","10,098","5,798","5,476","9,190","11,318","6,787","6,103","6,496","6,919","6,854","5,871","6,097","Hombre","2017"
"10-14","102,495","7,935","3,439","6,046","10,406","5,553","5,108","9,065","11,065","6,870","5,646","6,560","6,603","6,630","5,681","5,888","Hombre","2017"
"15-19","93,562","7,664","3,942","5,563","8,920","5,200","4,710","8,013","9,355","5,778","5,347","5,683","6,007","6,145","5,735","5,500","Hombre","2017"
"20-24","99,750","10,393","6,214","7,043","8,226","5,751","4,984","7,850","8,391","5,211","4,938","5,356","5,845","6,432","7,585","5,531","Hombre","2017"
"25-29","109,196","11,533","6,390","7,804","8,289","6,878","6,054","8,088","8,057","5,334","5,275","5,992","6,853","7,601","8,731","6,317","Hombre","2017"
"30-34","116,112","11,166","5,431","7,970","8,434","7,556","7,142","8,405","7,636","5,875","5,866","6,754","8,519","8,937","9,084","7,337","Hombre","2017"
"35-39","112,904","10,162","4,677","7,362","8,462","7,039","7,130","8,554","7,549","6,213","6,048","7,030","8,355","9,098","8,283","6,942","Hombre","2017"
"40-44","105,082","9,274","4,192","6,921","8,281","6,525","6,347","7,902","7,212","6,121","5,731","6,717","7,488","8,227","7,736","6,408","Hombre","2017"
"45-49","87,512","7,644","3,721","5,586","6,394","5,371","5,435","6,600","5,520","4,943","5,169","5,918","6,467","6,889","6,293","5,562","Hombre","2017"
"50-54","75,645","6,743","3,390","4,605","5,415","4,724","4,905","5,730","4,378","4,341","4,650","5,300","5,626","5,834","5,419","4,585","Hombre","2017"
"55-59","72,005","6,161","3,581","4,579","5,163","4,417","4,756","5,432","3,828","4,135","4,370","4,839","5,195","5,612","5,475","4,462","Hombre","2017"
"60-64","65,761","5,465","3,665","3,901","4,271","4,021","4,364","4,906","3,211","3,803","4,042","4,472","4,892","5,552","5,171","4,025","Hombre","2017"
"65-69","57,354","4,667","3,450","3,382","3,618","3,468","3,759","4,244","2,821","3,243","3,288","3,952","4,336","4,998","4,797","3,331","Hombre","2017"
"70-74","46,928","3,575","2,745","2,786","3,070","2,865","2,998","3,524","2,405","2,728","2,871","3,118","3,483","4,121","3,860","2,779","Hombre","2017"
"75-79","34,344","2,447","1,967","2,050","2,219","2,140","2,307","2,607","1,719","2,051","2,132","2,396","2,582","2,956","2,683","2,088","Hombre","2017"
"80 y más","43,914","3,309","2,742","2,728","2,406","2,775","3,041","3,292","1,622","2,427","2,642","3,104","3,288","4,196","3,746","2,596","Hombre","2017"
"Total","1,629,405","128,250","82,895","101,961","124,901","101,134","100,583","127,702","118,786","88,340","90,492","100,345","114,222","128,346","124,356","97,092","Mujer","2017"
"0-4","101,033","8,101","3,352","5,708","9,580","5,385","5,533","8,815","11,555","5,999","5,436","5,664","6,982","6,948","6,313","5,662","Mujer","2017"
"5-9","98,716","7,392","3,237","5,522","9,722","5,285","5,325","8,812","11,115","6,198","5,606","6,179","6,707","6,437","5,594","5,585","Mujer","2017"
"10-14","97,972","7,412","3,218","5,573","9,967","5,319","4,934","8,788","10,991","6,158","5,812","5,949","6,364","6,166","5,550","5,771","Mujer","2017"
"15-19","91,854","7,246","4,352","5,409","8,833","5,035","4,661","7,779","9,628","5,549","5,063","5,431","5,740","5,856","6,127","5,145","Mujer","2017"
"20-24","101,733","9,694","7,504","7,156","8,101","5,844","5,210","7,955","8,746","4,921","4,964","5,006","5,708","6,792","8,658","5,474","Mujer","2017"
"25-29","114,365","11,050","7,376","7,854","8,444","7,356","6,663","8,344","8,129","5,264","5,355","5,857","7,346","8,710","10,004","6,613","Mujer","2017"
"30-34","122,088","10,070","6,088","7,769","9,114","8,103","7,910","9,023","8,113","5,801","6,112","6,919","9,166","10,193","10,036","7,671","Mujer","2017"
"35-39","118,864","9,575","5,094","7,592","8,821","7,775","7,813","8,778","8,091","6,197","6,347","7,235","8,946","10,096","9,214","7,290","Mujer","2017"
"40-44","112,809","8,915","4,916","7,077","8,592","7,095","7,120","8,706","7,769","6,161","6,307","7,319","8,018","9,159","8,648","7,007","Mujer","2017"
"45-49","97,628","7,581","4,537","6,195","7,209","6,130","6,237","7,508","6,255","5,331","5,738","6,384","7,117","7,801","7,359","6,246","Mujer","2017"
"50-54","87,851","6,705","4,400","5,457","6,270","5,665","5,935","6,872","4,928","4,627","5,243","5,805","6,509","7,235","6,756","5,444","Mujer","2017"
"55-59","88,481","6,667","4,863","5,590","5,979","5,848","5,948","6,639","4,643","4,651","5,244","5,907","6,368","7,530","7,197","5,407","Mujer","2017"
"60-64","85,774","6,310","5,023","5,447","5,451","5,647","5,862","6,296","4,449","4,428","4,823","5,628","6,325","7,654","7,220","5,211","Mujer","2017"
"65-69","79,929","5,781","4,799","5,092","5,105","5,296","5,351","5,785","4,068","4,332","4,505","5,181","5,820","7,261","6,815","4,738","Mujer","2017"
"70-74","71,114","4,900","4,293","4,488","4,461","4,651","4,868","5,242","3,668","3,946","4,226","4,743","5,273","6,142","5,956","4,257","Mujer","2017"
"75-79","58,700","3,973","3,260","3,745","3,610","3,764","3,893","4,470","2,879","3,447","3,629","4,051","4,457","5,192","4,772","3,558","Mujer","2017"
"80 y más","100,494","6,878","6,583","6,287","5,642","6,936","7,320","7,890","3,759","5,330","6,082","7,087","7,376","9,174","8,137","6,013","Mujer","2017"
"Total","1,437,936","125,950","66,783","90,982","114,278","85,995","84,450","113,265","108,496","82,474","79,887","89,682","99,940","107,752","102,657","85,345","Hombre","2018"
