Nombre,Score,Reviews,Descripcion,Direccion,CLASE
PARQUE DE LA RAZA (AEROPARQUE),4.2,5315.0,,,
PLAZA DE LOS AVIADORES,4.2,5058.0,PARQUE,"2899, AV. DR. RICARDO BALBIN 2849",JARDINES
PLAZA DR. R. SAENZ PEÑA,4.2,3365.0,,,
GRAL. PAZ,4.2,1126.0,,,
PLAZA VILLA REAL,4.2,1126.0,,,
PLAZA DEL EXODO JUJEÑO,4.2,1086.0,PARQUE,BAUNESS,PLAZOLETAS
PLAZA ING. FELIX AGUILAR,4.2,929.0,,,
PLAZA JOSE C. PAZ,4.2,683.0,,,
PLAZA FLEMING,4.2,642.0,PARQUE,AV. LIDORO J. QUINTEROS 1210,PLAZOLETAS
PLAZA EVITA,4.2,492.0,,,
PLAZA FRANCIA,4.2,492.0,,,
PLAZA JARDIN DE LOS MAESTROS,4.2,308.0,PARQUE,,JARDINES
PLAZOLETA CORONEL PRINGLES,4.2,194.0,PARQUE,AV. CASEROS 2999,PLAZOLETAS
PLAZOLETA CEFERINO NAMUNCURA,4.2,192.0,PARQUE,ARREGUI,PLAZOLETAS
PLAZOLETA DR. FLORENCIO ESCARDO.,4.2,190.0,PARQUE,,PLAZOLETAS
LUCIO DEMARE,4.2,163.0,PARQUE,AV. COMODORO MARTIN RIVADAVIA 1983-1999,PLAZOLETAS
PLAZOLETA ENRIQUE SANTOS DISCEPOLO,4.2,139.0,PARQUE,"C1424DDA, BUTTELER 41-59",PLAZOLETAS
PLAZA PAKISTAN,4.2,90.0,,,
PLAZOLETA RABINO MARSHALL MEYER,4.2,70.0,PARQUE,AV. PARQUE ROBERTO GOYENECHE 3507-3599,PLAZOLETAS
MAURICIO B. DE HIRSCH,4.2,64.0,PARQUE,JULIAN ALVAREZ 20,PLAZOLETAS
PLAZA ELIAS ALIPPI,4.2,52.0,PARQUE,"C1192ABA, GUARDIA VIEJA 4601-4699",PLAZOLETAS
VIRGINIA BOLTEN,4.2,48.0,,,
PLAZOLETA/PLAZA ISLAS CANARIAS,4.2,31.0,PARQUE,"C1437FPD, AV. INT. FRANCISCO RABANAL 1601-1699",PLAZOLETAS
CANTERO AV 27 DE FEBRERO,4.2,13.0,,,
PLAZOLETA MARTIN PESCADOR,4.2,12.0,PARQUE,MARTIN PESCADOR 2128,PLAZOLETAS
PLAZOLETA CRUCERO GENERAL BELGRANO,4.2,12.0,PARQUE,AV. PATRICIAS ARGENTINAS 351,PLAZOLETAS
PLAZA DON BOSCO,4.1,1220.0,,,
ATAHUALPA YUPANQUI,4.1,1160.0,,,
PLAZOLETA ALBERTO VACCAREZZA,4.1,456.0,PARQUE,ALCARAZ,PLAZOLETAS
PLAZA HUNGRIA,4.1,428.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
PLAZA JOSE MARTI,4.1,331.0,,,
CIUDAD DEL ROCK,4.1,214.0,,,
PORTO ALEGRE,4.1,170.0,PARQUE ESTATAL,AV. SAN MARTIN,PLAZOLETAS
PLAZOLETA ANDRES CHAZARRETA,4.1,159.0,PARQUE,MOSCU 5166,PLAZOLETAS
PLAZOLETA LATINO AMERICANA,4.1,117.0,PARQUE,EL PROFETA DE LA PAMPA 4701-4799,PLAZOLETAS
PLAZOLETA JORGE WILLIAMS,4.1,114.0,PARQUE,PEDRO LOZANO 3148,PLAZOLETAS
PLAZA SERGIO KARAKACHOFF,4.1,26.0,,,
PLAZOLETA CON JUEGOS MARKY,4.1,15.0,PARQUE,"C1429ADI, AV. SAN ISIDRO LABRADOR 4777",PLAZOLETAS
HAROLDO CONTI,4.1,15.0,,,
